frame_id,timestamp_sec,high_or_critical_zone_count,total_zones,zones_high_or_critical,total_count,raw_multi_zone_alert
991,32.99004680116517,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",267,1
992,33.0233364548495,2,8,"crosswalk_main, sidewalk_right",254,0
993,33.05662610853382,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",254,1
994,33.08991576221815,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",278,1
995,33.12320541590247,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",274,1
996,33.1564950695868,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",297,1
997,33.18978472327112,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",270,1
998,33.223074376955445,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",289,1
999,33.256364030639766,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",280,1
1000,33.289653684324094,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",291,1
1001,33.322943338008415,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",280,1
1002,33.356232991692735,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",289,1
1003,33.38952264537706,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",290,1
1004,33.422812299061384,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",290,1
1005,33.45610195274571,2,8,"crosswalk_main, sidewalk_right",281,0
1006,33.48939160643003,2,8,"crosswalk_main, sidewalk_right",264,0
1007,33.52268126011436,2,8,"crosswalk_main, sidewalk_right",260,0
1008,33.55597091379868,2,8,"crosswalk_main, sidewalk_right",260,0
1009,33.58926056748301,2,8,"crosswalk_main, sidewalk_right",232,0
1010,33.62255022116733,1,8,crosswalk_main,224,0
1011,33.65583987485166,1,8,crosswalk_main,231,0
1012,33.68912952853598,1,8,crosswalk_main,250,0
1013,33.72241918222031,1,8,crosswalk_main,252,0
1014,33.75570883590463,1,8,crosswalk_main,228,0
1015,33.78899848958895,1,8,crosswalk_main,221,0
1016,33.82228814327328,2,8,"crosswalk_main, sidewalk_right",243,0
1017,33.8555777969576,2,8,"crosswalk_main, sidewalk_right",226,0
1018,33.888867450641925,2,8,"crosswalk_main, sidewalk_right",236,0
1019,33.922157104326246,2,8,"crosswalk_main, sidewalk_right",241,0
1020,33.955446758010574,2,8,"crosswalk_main, sidewalk_right",248,0
1021,33.988736411694894,2,8,"crosswalk_main, sidewalk_right",227,0
1022,34.02202606537922,2,8,"crosswalk_main, sidewalk_right",224,0
1023,34.05531571906354,2,8,"crosswalk_main, sidewalk_right",216,0
1024,34.08860537274787,2,8,"crosswalk_main, sidewalk_right",243,0
